id_p,fecha_hora,fecha,latitude,longitude,cnt
281072,2018-06-02 20:58:49,2018-06-02,-16.38531556,-71.51659740,19
281030,2018-06-02 17:26:41,2018-06-02,-16.40574551,-71.52600197,0
281131,2018-06-02 23:28:22,2018-06-02,-16.38530963,-71.51663281,22
281125,2018-06-02 23:24:30,2018-06-02,-16.38527635,-71.51670746,17
281008,2018-06-02 16:35:25,2018-06-02,-16.38528784,-71.51663406,25
281012,2018-06-02 16:51:40,2018-06-02,-16.38732421,-71.51569052,0
281117,2018-06-02 22:26:00,2018-06-02,-16.38470424,-71.51721148,0
281000,2018-06-02 16:13:05,2018-06-02,-16.38530572,-71.51666538,19
281003,2018-06-02 16:32:18,2018-06-02,-16.38529043,-71.51666462,29
280998,2018-06-02 16:12:25,2018-06-02,-16.38530572,-71.51666538,19
281108,2018-06-02 21:50:38,2018-06-02,-16.38532920,-71.51657690,16
280995,2018-06-02 16:11:24,2018-06-02,-16.38523360,-71.51665769,12
281087,2018-06-02 21:45:35,2018-06-02,-16.38539272,-71.51664553,8
281021,2018-06-02 17:14:41,2018-06-02,-16.40404469,-71.52731810,2
281086,2018-06-02 21:45:10,2018-06-02,-16.38539952,-71.51666081,10
281088,2018-06-02 21:45:41,2018-06-02,-16.38538464,-71.51663177,10
281031,2018-06-02 17:26:52,2018-06-02,-16.40585700,-71.52590262,0
281102,2018-06-02 21:49:22,2018-06-02,-16.38541290,-71.51665348,11
281006,2018-06-02 16:34:37,2018-06-02,-16.38537841,-71.51672036,2
281119,2018-06-02 22:27:31,2018-06-02,-16.38547799,-71.51631946,5
281016,2018-06-02 17:05:58,2018-06-02,-16.39941992,-71.52823670,0
281002,2018-06-02 16:29:34,2018-06-02,-16.38528649,-71.51666410,29
281042,2018-06-02 17:55:24,2018-06-02,-16.40606668,-71.52626863,0
281116,2018-06-02 22:22:44,2018-06-02,-16.38523492,-71.51671400,7
281039,2018-06-02 17:29:45,2018-06-02,-16.40615706,-71.52576037,1
278619,2018-06-02 17:57:10,2018-06-02,-16.40626099,-71.52613967,9
280999,2018-06-02 16:12:45,2018-06-02,-16.38530572,-71.51666538,19
281023,2018-06-02 17:15:51,2018-06-02,-16.40398799,-71.52721318,0
281050,2018-06-02 17:57:41,2018-06-02,-16.40623740,-71.52615795,9
281121,2018-06-02 22:29:42,2018-06-02,-16.38547102,-71.51631961,5
281056,2018-06-02 20:37:02,2018-06-02,-16.40393062,-71.52676365,0
281130,2018-06-02 23:28:10,2018-06-02,-16.38532131,-71.51660434,20
281014,2018-06-02 16:54:20,2018-06-02,-16.38821691,-71.51808774,0
281057,2018-06-02 20:39:18,2018-06-02,-16.40112455,-71.52135501,0
281076,2018-06-02 20:59:25,2018-06-02,-16.38526306,-71.51666522,28
281044,2018-06-02 17:56:30,2018-06-02,-16.40623374,-71.52614267,9
281024,2018-06-02 17:16:06,2018-06-02,-16.40405437,-71.52733401,4
281045,2018-06-02 17:56:42,2018-06-02,-16.40623589,-71.52614916,9
281052,2018-06-02 20:36:27,2018-06-02,-16.40457912,-71.52705723,1
281025,2018-06-02 17:18:51,2018-06-02,-16.40390845,-71.52711303,2
281041,2018-06-02 17:30:01,2018-06-02,-16.40612800,-71.52585716,0
281011,2018-06-02 16:46:20,2018-06-02,-16.38576169,-71.51655776,1
281043,2018-06-02 17:56:24,2018-06-02,-16.40624464,-71.52612227,9
281092,2018-06-02 21:46:21,2018-06-02,-16.38531293,-71.51661148,20
281060,2018-06-02 20:40:18,2018-06-02,-16.40285459,-71.52083864,0
281084,2018-06-02 21:44:46,2018-06-02,-16.38525133,-71.51677347,0
281101,2018-06-02 21:49:10,2018-06-02,-16.38541500,-71.51665431,11
281126,2018-06-02 23:24:46,2018-06-02,-16.38531879,-71.51668069,12
281073,2018-06-02 20:58:56,2018-06-02,-16.38531097,-71.51662579,24
280996,2018-06-02 16:11:40,2018-06-02,-16.38530572,-71.51666538,19
281063,2018-06-02 20:50:56,2018-06-02,-16.39165085,-71.52379797,0
281078,2018-06-02 20:59:54,2018-06-02,-16.38526611,-71.51666045,28
281067,2018-06-02 20:55:40,2018-06-02,-16.38567807,-71.51664957,0
280997,2018-06-02 16:12:05,2018-06-02,-16.38530572,-71.51666538,19
281048,2018-06-02 17:57:21,2018-06-02,-16.40626762,-71.52613362,9
281069,2018-06-02 20:56:00,2018-06-02,-16.38550121,-71.51654297,1
281080,2018-06-02 21:00:16,2018-06-02,-16.38527538,-71.51662907,18
281110,2018-06-02 21:50:51,2018-06-02,-16.38531979,-71.51657683,14
281004,2018-06-02 16:32:43,2018-06-02,-16.38528882,-71.51666577,29
281122,2018-06-02 22:29:54,2018-06-02,-16.38546782,-71.51632388,5
281074,2018-06-02 20:59:03,2018-06-02,-16.38525998,-71.51667134,21
281079,2018-06-02 21:00:03,2018-06-02,-16.38526714,-71.51666032,28
281129,2018-06-02 23:28:03,2018-06-02,-16.38529927,-71.51656690,13
281083,2018-06-02 21:25:24,2018-06-02,-16.38522062,-71.51654417,2
281007,2018-06-02 16:34:43,2018-06-02,-16.38537723,-71.51671983,2
281036,2018-06-02 17:27:42,2018-06-02,-16.40607902,-71.52569014,4
281070,2018-06-02 20:56:35,2018-06-02,-16.38541337,-71.51654598,0
281100,2018-06-02 21:49:02,2018-06-02,-16.38541859,-71.51665687,11
281105,2018-06-02 21:50:02,2018-06-02,-16.38536979,-71.51656456,8
281040,2018-06-02 17:29:50,2018-06-02,-16.40616279,-71.52576290,1
281064,2018-06-02 20:51:04,2018-06-02,-16.39127675,-71.52347452,0
281034,2018-06-02 17:27:24,2018-06-02,-16.40609434,-71.52570901,4
281035,2018-06-02 17:27:30,2018-06-02,-16.40607232,-71.52570790,3
