id,fecha,id_p,usercode,fecha_hora,latitude,longitude,latitude_pc,longitude_pc,fecha_hora_pc,distancia
34,2018-06-02,278619,4BA93CE2575B5E69,2018-06-02 17:57:10,-16.40626099,-71.52613967,-16.40623589,-71.52614916,2018-06-02 17:56:42,5
35,2018-06-02,278619,4BA93CE2575B5E69,2018-06-02 17:57:10,-16.40626099,-71.52613967,-16.40623741,-71.52614718,2018-06-02 17:56:50,5
36,2018-06-02,278619,4BA93CE2575B5E69,2018-06-02 17:57:10,-16.40626099,-71.52613967,-16.40626169,-71.52614200,2018-06-02 17:57:04,5
37,2018-06-02,278619,4BA93CE2575B5E69,2018-06-02 17:57:10,-16.40626099,-71.52613967,-16.40626762,-71.52613362,2018-06-02 17:57:21,5
38,2018-06-02,278619,4BA93CE2575B5E69,2018-06-02 17:57:10,-16.40626099,-71.52613967,-16.40623781,-71.52615851,2018-06-02 17:57:30,5
39,2018-06-02,278619,4BA93CE2575B5E69,2018-06-02 17:57:10,-16.40626099,-71.52613967,-16.40623740,-71.52615795,2018-06-02 17:57:41,5
40,2018-06-02,278619,4BA93CE2575B5E69,2018-06-02 17:57:10,-16.40626099,-71.52613967,-16.40623720,-71.52615769,2018-06-02 17:57:52,5
41,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38531302,-71.51661010,2018-06-02 21:46:35,5
42,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38531636,-71.51660570,2018-06-02 21:46:41,5
43,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38528784,-71.51663406,2018-06-02 16:35:25,5
44,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38531556,-71.51659740,2018-06-02 20:58:49,5
45,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38531097,-71.51662579,2018-06-02 20:58:56,5
46,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38527538,-71.51662907,2018-06-02 21:00:16,5
47,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38529297,-71.51662896,2018-06-02 21:00:26,5
48,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38535015,-71.51660531,2018-06-02 21:46:09,5
49,2018-06-02,278732,4BA93CE2575B5E69,2018-06-02 21:46:35,-16.38531302,-71.51661010,-16.38534495,-71.51660743,2018-06-02 21:46:10,5
